"";"X";"RF_SRS_Base";"RF_SRS_Importance";"RF_SRS_Synthetic";"RF_Stratified_Base";"RF_Stratified_Importance";"RF_Stratified_Synthetic";"RF_Stratified.Cluster_Base";"RF_Stratified.Cluster_Importance";"RF_Stratified.Cluster_Synthetic";"MLPR_SRS_Base";"MLPR_SRS_Importance";"MLPR_SRS_Synthetic";"MLPR_Stratified_Base";"MLPR_Stratified_Importance";"MLPR_Stratified_Synthetic";"MLPR_Stratified.Cluster_Base";"MLPR_Stratified.Cluster_Importance";"MLPR_Stratified.Cluster_Synthetic";"LR_SRS_base";"LR_SRS_importance";"LR_SRS_synthetic";"LR_Stratified Cluster_base";"LR_Stratified Cluster_importance";"LR_Stratified Cluster_synthetic";"LR_Stratified_base";"LR_Stratified_importance";"LR_Stratified_synthetic"
"1";1;0,36218076934047;0,364275450424227;0,365770923649596;0,354769280118126;0,357988874773491;0,374652273245826;0,331885526499666;0,377960272425756;0,327543560667434;0,275276107124066;0,288935422562278;0,349442944316092;0,27972196338755;0,274005708171665;0,363532131152194;0,297271918061259;0,334945156013335;0,322923193061192;0,336696173742361;0,339676532385611;0,269821027499492;0,328727529794239;0,33408465520374;0,28629154301586;0,326225677038371;0,323658659948953;0,2785014111373
"2";2;0,337018308491151;0,341639401988868;0,330383647987724;0,348811258150014;0,325382876006458;0,328993151927565;0,338554919504271;0,335667066114335;0,328347172132624;0,250934893045273;0,254982505998136;0,318178145135398;0,288474362000553;0,265083213651153;0,321820618669942;0,299707434622578;0,288224132611582;0,317541715853203;0,323157345372234;0,325447430550469;0,278859865149407;0,319531730012533;0,319315532481553;0,260877564433165;0,338991259135633;0,332033839758235;0,274537154252846
"3";3;0,323089679143216;0,3402565467137;0,305194922576468;0,320425371932376;0,347950353286467;0,350239900622443;0,367025757921554;0,36616071781353;0,375646428248504;0,218328412687524;0,23169911297427;0,290355705103498;0,246838363392412;0,236383672008143;0,331452453989099;0,31051453493235;0,328227395830557;0,369087359999592;0,310767118537777;0,326941579343553;0,275560745816233;0,32302617889572;0,339858259426227;0,346694163956125;0,315344567147893;0,317792026918049;0,270692136174737
"4";4;0,335688785485122;0,336369683362862;0,349991439949184;0,367628622713344;0,320155636207645;0,357409425082245;0,312737553583452;0,316456059631278;0,296274725246544;0,257013276581746;0,231885986550526;0,343833925191856;0,305014778601773;0,268045848442228;0,362417246139865;0,290288562392099;0,281062098262559;0,291617845371667;0,291253195019559;0,293429407914032;0,305899153070666;0,31388063879725;0,315943046539262;0,27967466282136;0,328475857907407;0,331529803710068;0,280679825381419
"5";5;0,322671203310851;0,294803643598065;0,334812960044915;0,335117857551802;0,318220726202432;0,355086784624271;0,352182697221341;0,348281029317383;0,334711396088446;0,236105921473345;0,215073100126691;0,31959286710326;0,263475472955294;0,267933419870246;0,347250983518567;0,322120709826244;0,315236781509074;0,322429387223449;0,320038070708544;0,322601456092173;0,328619087288443;0,340744340164632;0,349835402007731;0,289705763154073;0,346100015378279;0,355399693592667;0,360669793825273
"6";6;0,323863519066689;0,359468014818245;0,33655484793783;0,356192586027681;0,349856122266028;0,333638619939871;0,308078887620142;0,351657246485942;0,329795257455264;0,254756400125219;0,246310375407864;0,324650828353998;0,278110804672169;0,304356825454205;0,326383568775024;0,281612702179129;0,307059889297757;0,325706026433068;0,327761646851774;0,320084973771336;0,327366194223143;0,290381512068246;0,298779598116432;0,312043823923154;0,329517963951506;0,303847749919851;0,284717153516892
"7";7;0,360025074713577;0,345077768673347;0,363876403431013;0,345520869679778;0,359403999827137;0,3578152517377;0,361299928783818;0,353295306202249;0,357397897127381;0,267462509427139;0,266284526009677;0,331478604801401;0,273511111580654;0,285380780348555;0,355242653967763;0,337029544864718;0,320612577946065;0,357623543517446;0,336169352346414;0,330417735563919;0,26731544234711;0,318480891328812;0,322372772294924;0,327393489251404;0,327502592888464;0,328830798615777;0,338324313151593
"8";8;0,351281722766666;0,35826858410974;0,348015176303413;0,343217309862211;0,340349542637997;0,336796484822668;0,363009703251491;0,349545399905949;0,338610664709583;0,270097050208431;0,275516771989276;0,334503794937076;0,272914177996756;0,268475965590332;0,335399826460213;0,324402575710517;0,32381701355431;0,324911319329741;0,301764327644198;0,277402016514955;0,330097271298436;0,335935993366518;0,314105929904734;0,331905633459568;0,329224133625381;0,348290112699539;0,335770835025097
"9";9;0,327827635083107;0,33517775605355;0,40391196363928;0,32407980174957;0,310918988177301;0,331193498978101;0,35148159782448;0,37013206784545;0,355550414868731;0,195469790336142;0,22150810283077;0,494597496880684;0,239681517389017;0,244260489142802;0,314494918553239;0,333392978440369;0,329850152321151;0,365063349153729;0,337105298528054;0,337144842642795;0,142368888612952;0,316242260202207;0,318922847604119;0,290795353078491;0,323651507239638;0,315025447235269;0,331941666453607
"10";10;0,364213237438417;0,342665733915114;0,361964068483182;0,381960249536939;0,369275337585689;0,357994343611654;0,355143614646269;0,355303572579226;0,346687436184798;0,262873831122683;0,26445953881266;0,371787016458266;0,319945426671384;0,302008757952307;0,349119415783257;0,319401603394019;0,310978478062481;0,330886646522676;0,306669109364666;0,322327494137692;0,27107591104084;0,327714054774872;0,326257135410095;0,332627287336595;0,342264557317395;0,336955939818347;0,283325572961295
