Regression;Sample;Correction;1;2;3;4;5;6;7;8;9;10
RF;SRS;No correction;0.3622;0.337;0.3231;0.3357;0.3227;0.3239;0.36;0.3513;0.3278;0.3642
;;Importance;0.3643;0.3416;0.3403;0.3364;0.2948;0.3595;0.3451;0.3583;0.3352;0.3427
;;Synthetic;0.3658;0.3304;0.3052;0.35;0.3348;0.3366;0.3639;0.348;0.4039;0.362
;StRS;No correction;0.3548;0.3488;0.3204;0.3676;0.3351;0.3562;0.3455;0.3432;0.3241;0.382
;;Importance;0.358;0.3254;0.348;0.3202;0.3182;0.3499;0.3594;0.3403;0.3109;0.3693
;;Synthetic;0.3747;0.329;0.3502;0.3574;0.3551;0.3336;0.3578;0.3368;0.3312;0.3580
;StCRS;No correction;0.3319;0.3386;0.367;0.3127;0.3522;0.3081;0.3613;0.363;0.3515;0.3551
;;Importance;0.378;0.3357;0.3662;0.3165;0.3483;0.3517;0.3533;0.3495;0.3701;0.3553
;;Synthetic;0.3275;0.3283;0.3756;0.2963;0.3347;0.3298;0.3574;0.3386;0.3556;0.3467
NN;SRS;No correction;0.2753;0.2509;0.2183;0.2570;0.2361;0.2548;0.2675;0.2701;0.1955;0.2629
;;Importance;0.2889;0.255;0.2317;0.2319;0.2151;0.2463;0.2663;0.2755;0.2215;0.2645
;;Synthetic;0.3494;0.3182;0.2904;0.3438;0.3196;0.3247;0.3315;0.3345;0.4946;0.3718
;StRS;No correction;0.2797;0.2885;0.2468;0.305;0.2635;0.2781;0.2735;0.2729;0.2397;0.3199
;;Importance;0.274;0.2651;0.2364;0.268;0.2679;0.3044;0.2854;0.2685;0.2443;0.302
;;Synthetic;0.3635;0.3218;0.3315;0.3624;0.3473;0.3264;0.3552;0.3354;0.3145;0.3491
;StCRS;No correction;0.2973;0.2997;0.3105;0.2903;0.3221;0.2816;0.3370;0.3244;0.3334;0.3194
;;Importance;0.3349;0.2882;0.3282;0.2811;0.3152;0.3071;0.3206;0.3238;0.3299;0.3110
;;Synthetic;0.3229;0.3175;0.3691;0.2916;0.3224;0.3257;0.3576;0.3249;0.3651;0.3309
LR;SRS;No correction;0.3367;0.3232;0.3108;0.2913;0.3200;0.3278;0.3362;0.3018;0.3371;0.3067
;;Importance;0.3397;0.3254;0.3269;0.2934;0.3226;0.3201;0.3304;0.2774;0.3371;0.3223
;;Synthetic;0.2698;0.2789;0.2756;0.3059;0.3286;0.3274;0.2673;0.3301;0.1424;0.2711
;StRS;No correction;0.3287;0.3195;0.3230;0.3139;0.3407;0.2904;0.3185;0.3359;0.3162;0.3277
;;Importance;0.3341;0.3193;0.3399;0.3159;0.3498;0.2988;0.3224;0.3141;0.3189;0.3263
;;Synthetic;0.2863;0.2609;0.3467;0.2797;0.2897;0.312;0.3274;0.3319;0.2908;0.3326
;StCRS;No correction;0.3262;0.339;0.3153;0.3285;0.3461;0.3295;0.3275;0.3292;0.3237;0.3423
;;Importance;0.3237;0.332;0.3178;0.3315;0.3554;0.3038;0.3288;0.3483;0.3150;0.3370
;;Synthetic;0.2785;0.2745;0.2707;0.2807;0.3607;0.2847;0.3383;0.3358;0.3319;0.2833
