Regression;Sample;Correction;1;2;3;4;5;6;7;8;9;10
RF;SRS;No correction;0,3516;0,3568;0,3585;0,3573;0,3577;0,3542;0,3516;0,3543;0,3617;0,3528
;;Importance;0,3532;0,3551;0,3561;0,3563;0,3579;0,3582;0,3559;0,3568;0,3601;0,3568
;;Synthetic;0,3371;0,3387;0,3415;0,3478;0,3439;0,3439;0,3295;0,3438;0,2403;0,3201
;StRS;No correction;0,3585;0,3602;0,3564;0,3594;0,3555;0,3526;0,3551;0,3555;0,3589;0,3584
;;Importance;0,3589;0,3577;0,3548;0,3559;0,3577;0,3472;0,3544;0,3563;0,3568;0,3575
;;Synthetic;0,3382;0,3399;0,3381;0,3318;0,3414;0,3436;0,3404;0,3413;0,346;0,34
;StCRS;No correction;0,3597;0,3552;0,3597;0,3575;0,3571;0,3587;0,3573;0,3562;0,3569;0,357
;;Importance;0,3598;0,3535;0,3556;0,3571;0,3592;0,3567;0,3575;0,3567;0,3561;0,357
;;Synthetic;0,3393;0,3316;0,3391;0,3433;0,3341;0,3409;0,3438;0,3424;0,3219;0,3425
NN;SRS;No correction;0,2544;0,2434;0,25;0,2624;0,2701;0,2589;0,2515;0,2731;0,247;0,2411
;;Importance;0,2681;0,2523;0,2513;0,253;0,2596;0,2345;0,2445;0,247;0,2427;0,2688
;;Synthetic;0,2842;0,2902;0,3035;0,3206;0,3027;0,3082;0,2615;0,2986;0,1831;0,2417
;StRS;No correction;0,2805;0,2989;0,2624;0,2928;0,2916;0,2751;0,2758;0,2873;0,2778;0,2948
;;Importance;0,278;0,2835;0,2604;0,2779;0,2949;0,2579;0,2678;0,2731;0,2697;0,3013
;;Synthetic;0,2855;0,3024;0,2684;0,2954;0,2982;0,3051;0,291;0,3205;0,309;0,3108
;StCRS;No correction;0,0909;0,1242;0,1804;0,2488;0,1051;0,2058;0,0918;0,1294;0,1895;0,1156
;;Importance;0,1383;0,1026;-0,0444;0,077;0,2113;0,17;0,1568;0,0635;0,1031;0,1728
;;Synthetic;0,2931;0,2604;0,3081;0,3072;0,2565;0,3005;0,3178;0,289;0,2394;0,2954
LR;SRS;No correction;0,3307;0,3305;0,3306;0,3309;0,3307;0,3306;0,3306;0,3306;0,3306;0,3305
;;Importance;0,3307;0,3307;0,3308;0,3308;0,3309;0,3306;0,3306;0,3306;0,3306;0,3306
;;Synthetic;0,3265;0,3264;0,3264;0,3266;0,3264;0,3264;0,3266;0,3266;0,3266;0,3264
;StRS;No correction;0,3288;0,3288;0,3291;0,3292;0,3292;0,3295;0,3295;0,3289;0,3286;0,3289
;;Importance;0,329;0,3287;0,3289;0,3294;0,3293;0,3295;0,3295;0,3289;0,3286;0,3291
;;Synthetic;0,3251;0,3244;0,3251;0,323;0,3253;0,3242;0,3254;0,3253;0,3254;0,3252
;StCRS;No correction;0,3293;0,3296;0,3293;0,3297;0,3291;0,33;0,3295;0,3292;0,3287;0,3294
;;Importance;0,3295;0,3297;0,3295;0,3298;0,3292;0,33;0,3296;0,3294;0,3287;0,3294
;;Synthetic;0,3249;0,3255;0,325;0,3258;0,3254;0,3253;0,3253;0,3253;0,3247;0,3255
